Mainplot,Climate,Clim,Clim_LC_5,Landusespecific,Landuse,LC_5,Intensity,ClimateLand,Year,Date,SamplingNo,Season,Plot,Plot_ID,ID_unique,MUB.Xyl,MUB.Cel,MUB.Nag,MUB.Pho,Basal,Cmic,WSA,meanFunction,water.content,pH,carbon,funcMaxed,z.meanFunction,z.water.content,z.pH,z.carbon,z.funcMaxed
2,F,1,0,IG,Grassland,0,High,F_IG,2019,Sept/Oct18,2,Fall,2,2_1,45,28.47745996,48.73301558,143.9840933,311.6777501,1.196724633,362.8102876,62.30336394,0.688451138,15.914253,6.17,2.21,5,0.802880718,0.857799133,-1.242932736,1.786713503,0.202470313
2,F,1,1,OF,Farmland,1,Low,F_OF,2019,Sept/Oct18,2,Fall,2,2_3,46,25.19808485,40.71924637,105.1791492,265.508803,0.988638707,265.6342386,57.60610388,0.571714423,16.921319,6.31,2.05,5,-0.394869769,1.10489008,-0.955964139,0.409006706,0.202470313
2,F,1,1,CF,Farmland,1,High,F_CF,2019,Sept/Oct18,2,Fall,2,2_4,47,21.24830888,58.10695304,133.5340487,325.8063121,0.906101114,278.7339617,35.01044512,0.600110817,17.280975,6.34,2.08,4,-0.103515034,1.193134288,-0.894470868,0.66732673,-0.420515265
2,F,1,0,EM,Grassland,0,Low,F_EM,2019,Sept/Oct18,2,Fall,2,2_5,48,31.58676401,45.03612805,164.8101695,329.5314535,2.193275,715.6951667,55.92800277,0.824917853,17.482517,6.24,2.12,7,2.203066379,1.242584079,-1.099448437,1.01175343,1.448441467
3,A,0,0,CF,Farmland,1,High,A_CF,2019,Sept/Oct18,2,Fall,3,3_1,49,28.53919875,43.38068566,109.9639612,289.9815729,1.016182714,282.4264448,50.98690977,0.59845134,16.03935,5.98,1.9,5,-0.12054172,0.88849259,-1.632390118,-0.882593417,0.202470313
3,A,0,0,OF,Farmland,1,Low,A_OF,2019,Sept/Oct18,2,Fall,3,3_2,50,28.02172889,43.42690651,113.5407561,276.6639786,0.718377371,218.137421,52.78185743,0.569705547,15.729375,5.87,1.92,5,-0.415481384,0.812437975,-1.857865444,-0.710380068,0.202470313
3,A,0,0,IG,Grassland,0,High,A_IG,2019,Sept/Oct18,2,Fall,3,3_3,51,26.59773416,38.0389039,130.9246638,347.9702782,1.386896789,380.4154788,54.59720758,0.663294281,17.015819,5.84,1.97,5,0.544764514,1.12807634,-1.919358715,-0.279846693,0.202470313
3,A,0,0,EM,Grassland,0,Low,A_EM,2019,Sept/Oct18,2,Fall,3,3_4,52,25.87130549,38.53665973,134.843658,329.9636398,1.439101469,368.3438105,62.90940897,0.671292376,16.89381,6.14,2.02,6,0.626827147,1.098140547,-1.304426007,0.150686681,0.82545589
4,F,1,1,CF,Farmland,1,High,F_CF,2019,Sept/Oct18,2,Fall,4,4_1,53,27.77383795,41.6046831,114.7432757,342.7501248,0.791739569,241.4316958,48.95499269,0.594099795,16.139955,6.17,1.99,5,-0.165189756,0.913176756,-1.242932736,-0.107633344,0.202470313
4,F,1,1,OF,Farmland,1,Low,F_OF,2019,Sept/Oct18,2,Fall,4,4_2,54,26.91208792,39.02627393,101.3971374,253.7104678,0.841168455,249.4476807,46.23637424,0.538658469,16.391341,6.1,2.08,4,-0.73403286,0.974856134,-1.386417035,0.66732673,-0.420515265
4,F,1,0,IG,Grassland,0,High,F_IG,2019,Sept/Oct18,2,Fall,4,4_3,55,26.452445,35.24626083,92.72429101,311.4900616,1.85572545,417.6040322,50.17186308,0.634716101,15.974304,6.1,1.98,5,0.251544605,0.872533082,-1.386417035,-0.193740018,0.202470313
4,F,1,0,EM,Grassland,0,Low,F_EM,2019,Sept/Oct18,2,Fall,4,4_4,56,24.16081347,28.21377157,119.2320266,317.7777264,1.901164982,456.4123123,50.34461784,0.645620732,17.74239,5.86,2.04,6,0.363429088,1.306345805,-1.878363201,0.322900031,0.82545589
5,A,0,0,OF,Farmland,1,Low,A_OF,2019,Sept/Oct18,2,Fall,5,5_1,57,26.46442793,48.71659822,119.2228192,300.870052,0.847024919,281.9476747,61.46125619,0.620637435,15.968661,6.18,1.78,5,0.107093657,0.871148531,-1.222434979,-1.915873516,0.202470313
5,A,0,0,IG,Grassland,0,High,A_IG,2019,Sept/Oct18,2,Fall,5,5_2,58,22.92994772,39.8646494,115.4390838,279.8378012,1.341983696,433.7107111,59.83696718,0.627815459,15.933752,6.91,1.91,7,0.180742138,0.862583354,0.273901277,-0.796486742,1.448441467
5,A,0,0,CF,Farmland,1,High,A_CF,2019,Sept/Oct18,2,Fall,5,5_3,59,23.13082524,52.53700752,104.3453606,245.5859381,1.0375,383.0919811,59.62161767,0.60586316,15.932587,7.24,2.06,5,-0.044494428,0.862297513,0.950327256,0.49511338,0.202470313
5,A,0,0,EM,Grassland,0,Low,A_EM,2019,Sept/Oct18,2,Fall,5,5_5,60,21.18134054,32.81198272,117.7652983,253.1318424,1.670449132,553.3898151,56.02823491,0.630802554,16.683203,7.14,1.9,6,0.211390547,1.046466593,0.745349686,-0.882593417,0.82545589
6,F,1,1,CF,Farmland,1,High,F_CF,2019,Sept/Oct18,2,Fall,6,6_2,61,20.29065403,31.78820214,79.68326145,236.6141364,0.86103065,306.1224879,54.83937367,0.497035924,15.328675,7.24,2.01,3,-1.161091507,0.714123324,0.950327256,0.064580006,-1.043500842
6,F,1,0,EM,Grassland,0,Low,F_EM,2019,Sept/Oct18,2,Fall,6,6_3,62,27.07495576,51.17383236,111.4627751,259.1782501,1.413673749,527.1078364,65.6569688,0.686436817,16.937091,7.19,2.05,7,0.782213236,1.108759855,0.847838471,0.409006706,1.448441467
6,F,1,1,OF,Farmland,1,Low,F_OF,2019,Sept/Oct18,2,Fall,6,6_4,63,17.93767701,26.04009982,83.23675668,230.2955511,0.842739079,316.5171192,57.49677288,0.481453477,15.996033,7.28,1.91,2,-1.320971657,0.877864449,1.032318284,-0.796486742,-1.666486419
6,F,1,0,IG,Grassland,0,High,F_IG,2019,Sept/Oct18,2,Fall,6,6_5,64,19.80379752,27.09771473,92.56953894,251.5340297,1.037325248,394.1835944,57.31317241,0.531622236,16.084806,7.08,1.9,3,-0.806226526,0.899645549,0.622363145,-0.882593417,-1.043500842
7,F,1,1,OF,Farmland,1,Low,F_OF,2019,Sept/Oct18,2,Fall,7,7_1,65,22.86855466,43.69505065,115.1636845,235.3056819,1.3944,428.6811667,59.96261553,0.619472922,16.605427,7.07,2.02,7,0.095145437,1.027383687,0.601865388,0.150686681,1.448441467
7,F,1,0,EM,Grassland,0,Low,F_EM,2019,Sept/Oct18,2,Fall,7,7_2,66,24.87907193,47.3180079,140.5553346,267.957641,1.457706093,432.0892075,52.63264879,0.661472212,16.609735,7.03,2.27,7,0.52606959,1.028440686,0.51987436,2.303353553,1.448441467
7,F,1,0,IG,Grassland,0,High,F_IG,2019,Sept/Oct18,2,Fall,7,7_4,67,22.39797126,41.97442321,111.228414,259.2915149,1.230469684,436.155195,54.33874876,0.604071998,16.773276,7.08,2.08,6,-0.062872238,1.068566656,0.622363145,0.66732673,0.82545589
7,F,1,1,CF,Farmland,1,High,F_CF,2019,Sept/Oct18,2,Fall,7,7_5,68,20.561017,40.60111587,74.48644386,209.7343701,1.350825,436.0405,36.77046893,0.521409004,16.505956,7.23,1.98,4,-0.911017068,1.002977756,0.929829499,-0.193740018,-0.420515265
8,A,0,0,IG,Grassland,0,High,A_IG,2019,Sept/Oct18,2,Fall,8,8_1,69,21.6847363,37.7592446,95.2700873,265.14585,1.902775,719.3748333,50.9594853,0.663223595,15.787228,7.19,2.16,6,0.544039257,0.826632628,0.847838471,1.356180129,0.82545589
8,A,0,0,EM,Grassland,0,Low,A_EM,2019,Sept/Oct18,2,Fall,8,8_3,70,30.84567657,63.04669238,136.2494894,280.2993309,2.2659,726.7341667,67.4586858,0.839048578,15.701543,7.25,2.05,7,2.348051466,0.805609192,0.970825013,0.409006706,1.448441467
8,A,0,0,CF,Farmland,1,High,A_CF,2019,Sept/Oct18,2,Fall,8,8_4,71,33.45080449,57.6839031,109.1744337,273.5306806,1.743,555.6296667,48.91090677,0.725141918,16.227758,6.97,1.97,7,1.179338113,0.934719859,0.396887819,-0.279846693,1.448441467
8,A,0,0,OF,Farmland,1,Low,A_OF,2019,Sept/Oct18,2,Fall,8,8_5,72,21.95450405,45.37648669,105.9598783,260.5163709,0.931561181,346.5407595,51.59280848,0.568729508,15.369233,7.13,1.81,5,-0.42549581,0.724074524,0.72485193,-1.657553491,0.202470313
9,F,1,0,EM,Grassland,0,Low,F_EM,2019,Sept/Oct18,2,Fall,9,9_1,73,23.9986834,36.5156974,107.850245,262.636407,1.533166609,500.0995746,44.48106913,0.60986266,17.712177,7.16,2.2,5,-0.003458469,1.298932826,0.7863452,1.700606829,0.202470313
9,F,1,0,IG,Grassland,0,High,F_IG,2019,Sept/Oct18,2,Fall,9,9_2,74,22.85808227,37.97987661,113.9639401,297.6982353,2.1497,708.3358333,52.80333564,0.710832043,17.090496,7.09,2.17,6,1.032514899,1.146398884,0.642860902,1.442286804,0.82545589
9,F,1,1,CF,Farmland,1,High,F_CF,2019,Sept/Oct18,2,Fall,9,9_3,75,20.33781896,32.25315493,73.56758007,233.6340773,1.321775,137.9875,58.98407456,0.491531182,15.981215,7.44,1.91,4,-1.217571659,0.874228746,1.360282394,-0.796486742,-0.420515265
9,F,1,1,OF,Farmland,1,Low,F_OF,2019,Sept/Oct18,2,Fall,9,9_5,76,17.76137222,27.52982352,75.30206357,186.1851422,0.886722062,310.7468204,47.53662473,0.444921847,16.068887,7.53,1.81,1,-1.695796129,0.895739707,1.544762207,-1.657553491,-2.289471996
10,A,0,0,EM,Grassland,0,Low,A_EM,2019,Sept/Oct18,2,Fall,10,10_2,77,34.2825416,68.66455276,164.7640632,333.4779645,1.533895418,508.9234088,60.84561665,0.820735548,16.164501,6.59,2.22,7,2.16015479,0.919199295,-0.382026945,1.872820178,1.448441467
10,A,0,0,OF,Farmland,1,Low,A_OF,2019,Sept/Oct18,2,Fall,10,10_3,78,19.17002709,28.97323899,84.13856327,216.3706524,0.681011386,327.7934807,56.067313,0.479072755,15.170455,7.2,1.96,2,-1.345398513,0.6753029,0.868336228,-0.365953368,-1.666486419
10,A,0,0,IG,Grassland,0,High,A_IG,2019,Sept/Oct18,2,Fall,10,10_4,79,32.89499249,51.70851335,140.8046975,321.816883,2.106125,732.2536667,41.74929744,0.796364941,16.070671,7.04,2,6,1.910105726,0.896177424,0.540372117,-0.021526669,0.82545589
10,A,0,0,CF,Farmland,1,High,A_CF,2019,Sept/Oct18,2,Fall,10,10_5,80,27.9168059,46.13449691,97.86810401,228.0784837,0.875292936,337.5388907,60.4056047,0.58472324,15.142045,7.07,1.93,5,-0.261395764,0.6683323,0.601865388,-0.624273393,0.202470313
